,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference,dup_id
CDS_CP066016.1_910210_910429_neg,I6H93_04395,QQB67899.1,,910210,910429,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002035543.1,dup_92
CDS_CP066016.1_3013478_3014569_pos,I6H93_14455,QQB66190.1,,3013478,3014569,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_2857464_2858031_pos,I6H93_13745,QQB66059.1,abaI,2857464,2858031,pos,,acyl-homoserine-lactone synthase AbaI,,2.3.1.184,,COORDINATES: similar to AA sequence:RefSeq:YP_004997304.1,dup_61
CDS_CP066016.1_3102026_3103727_pos,I6H93_14855,QQB66259.1,,3102026,3103727,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001097215.1,dup_10
CDS_CP066016.1_2744235_2744748_neg,I6H93_13195,QQB65961.1,,2744235,2744748,neg,,signal peptidase II,,3.4.23.36,,COORDINATES: similar to AA sequence:RefSeq:WP_013504665.1,dup_67
CDS_CP066016.1_560147_561238_pos,I6H93_02700,QQB67580.1,,560147,561238,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_2968961_2969828_neg,I6H93_14255,QQB66152.1,,2968961,2969828,neg,,MBL fold metallo-hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996668.1,dup_42
CDS_CP066016.1_3752210_3755657_pos,I6H93_18175,QQB66864.1,,3752210,3755657,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000590508.1,dup_3
CDS_CP066016.1_2755781_2757692_neg,I6H93_13265,QQB65974.1,,2755781,2757692,neg,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016654431.1,dup_8
CDS_CP066016.1_552797_553241_pos,I6H93_02665,QQB67577.1,,552797,553241,pos,,RDD family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995810.1,dup_71
CDS_CP066016.1_915753_916911_neg,I6H93_04445,QQB67908.1,,915753,916911,neg,,replication initiation factor domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000505020.1,dup_23
CDS_CP066016.1_1801706_1802797_pos,I6H93_08685,QQB68700.1,,1801706,1802797,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_254439_254790_pos,I6H93_01205,QQB67306.1,,254439,254790,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005124460.1,dup_82
CDS_CP066016.1_2041219_2042167_pos,I6H93_09790,QQB65352.1,trxB,2041219,2042167,pos,,thioredoxin-disulfide reductase,,1.8.1.9,,COORDINATES: similar to AA sequence:RefSeq:YP_004994406.1,dup_37
CDS_CP066016.1_2705058_2705559_neg,I6H93_12965,QQB65920.1,,2705058,2705559,neg,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004194535.1,dup_66
CDS_CP066016.1_234637_235963_pos,I6H93_01030,QQB67274.1,,234637,235963,pos,,AAA family ATPase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000093323.1,dup_20
CDS_CP066016.1_2699649_2700939_neg,I6H93_12915,QQB65911.1,,2699649,2700939,neg,,ISL3-like element ISPpu12 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612056.1,dup_19
CDS_CP066016.1_2742924_2744214_neg,I6H93_13190,QQB65960.1,,2742924,2744214,neg,,ISL3-like element ISPpu12 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612056.1,dup_19
CDS_CP066016.1_1799731_1800394_pos,I6H93_08670,QQB68699.1,rnt,1799731,1800394,pos,,ribonuclease T,,3.1.13.-,,COORDINATES: similar to AA sequence:RefSeq:YP_004994612.1,dup_53
CDS_CP066016.1_3012233_3013400_neg,I6H93_14450,QQB66189.1,,3012233,3013400,neg,,class C beta-lactamase ADC-176,,,,COORDINATES: similar to AA sequence:RefSeq:WP_059262723.1,dup_1
CDS_CP066016.1_2757692_2758403_neg,I6H93_13270,QQB65975.1,,2757692,2758403,neg,,heteromeric transposase endonuclease subunit TnsA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000736393.1,dup_50
CDS_CP066016.1_268226_268625_pos,I6H93_01270,QQB67319.1,,268226,268625,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020753256.1,dup_76
CDS_CP066017.1_8701_9163_pos,I6H93_19510,QQB69067.1,,8701,9163,pos,,DIP1984 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004781077.1,dup_74
CDS_CP066016.1_3258527_3258770_pos,I6H93_15580,QQB66395.1,,3258527,3258770,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996983.1,dup_90
CDS_CP066016.1_904616_905774_neg,I6H93_04350,QQB67890.1,,904616,905774,neg,,replication initiation factor domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000505020.1,dup_23
CDS_CP066016.1_254789_255887_pos,I6H93_01210,QQB67307.1,,254789,255887,pos,,phage tail protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001285006.1,dup_26
CDS_CP066016.1_3750954_3751353_pos,I6H93_18160,QQB66861.1,,3750954,3751353,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020753256.1,dup_76
CDS_CP066016.1_3376670_3377885_pos,I6H93_16160,QQB66499.1,,3376670,3377885,pos,,aspartate aminotransferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996865.1,dup_114
CDS_CP066016.1_559713_560046_neg,I6H93_02695,QQB68904.1,,559713,560046,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000262332.1,dup_83
CDS_CP066016.1_268624_269131_pos,I6H93_01275,QQB67320.1,,268624,269131,pos,,DUF1833 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000368376.1,dup_65
CDS_CP066016.1_1840650_1841235_pos,I6H93_08875,QQB68734.1,,1840650,1841235,pos,,5-formyltetrahydrofolate cyclo-ligase,,6.3.3.2,,COORDINATES: similar to AA sequence:RefSeq:WP_001004361.1,dup_59
CDS_CP066016.1_1765347_1766583_neg,I6H93_08550,QQB68677.1,,1765347,1766583,neg,,aspartate aminotransferase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994636.1,dup_114
CDS_CP066017.1_9658_10030_neg,I6H93_19520,QQB69069.1,,9658,10030,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000504218.1,dup_79
CDS_CP066016.1_597236_598565_neg,I6H93_02860,QQB67610.1,,597236,598565,neg,,Y-family DNA polymerase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005131489.1,dup_17
CDS_CP066016.1_226634_226844_neg,I6H93_00945,QQB67258.1,,226634,226844,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000028945.1,dup_95
CDS_CP066016.1_1811572_1811932_pos,I6H93_08720,QQB68706.1,,1811572,1811932,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004641876.1,dup_80
CDS_CP066016.1_2695670_2697467_pos,I6H93_12900,QQB65909.1,,2695670,2697467,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002048912.1,dup_9
CDS_CP066016.1_3010272_3012165_pos,I6H93_14445,QQB66188.1,,3010272,3012165,pos,,DUF4105 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996123.1,dup_7
CDS_CP066016.1_2558566_2559073_pos,I6H93_12230,QQB65788.1,,2558566,2559073,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004997532.1,dup_64
CDS_CP066016.1_3737198_3737417_pos,I6H93_18080,QQB66845.1,,3737198,3737417,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005124461.1,dup_94
CDS_CP066016.1_1515670_1516603_neg,I6H93_07280,QQB68440.1,,1515670,1516603,neg,,lauroyl acyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994762.1,dup_30
CDS_CP066016.1_1977127_1978513_pos,I6H93_09495,QQB68845.1,,1977127,1978513,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004994454.1,dup_18
CDS_CP066016.1_2423695_2425606_pos,I6H93_11600,QQB65675.1,,2423695,2425606,pos,,transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016654431.1,dup_8
CDS_CP066016.1_1791694_1791961_pos,I6H93_08635,QQB68693.1,,1791694,1791961,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000703423.1,dup_118
CDS_CP066016.1_2745743_2746151_pos,I6H93_13205,QQB65963.1,cadR,2745743,2746151,pos,,Cd(II)/Pb(II)-responsive transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001219642.1,dup_75
CDS_CP066016.1_910542_910737_pos,I6H93_04400,QQB67900.1,,910542,910737,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_018679358.1,dup_103
CDS_CP066016.1_917242_917437_pos,I6H93_04455,QQB67910.1,,917242,917437,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_018679358.1,dup_103
CDS_CP066016.1_889443_889740_neg,I6H93_04245,QQB67869.1,,889443,889740,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000983197.1,dup_84
CDS_CP066016.1_906828_907986_neg,I6H93_04370,QQB67894.1,,906828,907986,neg,,replication initiation factor domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000505020.1,dup_23
CDS_CP066016.1_3818490_3819201_pos,I6H93_18490,QQB66922.1,,3818490,3819201,pos,,succinate dehydrogenase iron-sulfur subunit,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016651020.1,dup_46
CDS_CP066016.1_2435369_2436191_neg,I6H93_11660,QQB65684.1,,2435369,2436191,neg,,carbapenem-hydrolyzing class D beta-lactamase OXA-23,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001046004.1,dup_43
CDS_CP066016.1_772015_773230_neg,I6H93_03710,QQB67770.1,pcaF,772015,773230,neg,,3-oxoadipyl-CoA thiolase,,2.3.1.174,,COORDINATES: similar to AA sequence:RefSeq:YP_004995596.1,dup_110
CDS_CP066016.1_902031_903483_neg,I6H93_04330,QQB67886.1,,902031,903483,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000996663.1,dup_14
CDS_CP066016.1_2725144_2725522_neg,I6H93_13070,QQB65938.1,,2725144,2725522,neg,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000656306.1,dup_78
CDS_CP066016.1_911252_911477_neg,I6H93_04410,QQB67902.1,,911252,911477,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002061731.1,dup_115
CDS_CP066016.1_728152_728806_pos,I6H93_03510,QQB67734.1,,728152,728806,pos,,CoA transferase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995595.1,dup_109
CDS_CP066016.1_899641_899842_pos,I6H93_04310,QQB67882.1,,899641,899842,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001085704.1,dup_97
CDS_CP066016.1_773735_774386_neg,I6H93_03715,QQB67771.1,,773735,774386,neg,,CoA transferase subunit B,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020753184.1,dup_109
CDS_CP066016.1_915454_915751_neg,I6H93_04440,QQB67907.1,,915454,915751,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000983197.1,dup_84
CDS_CP066016.1_3727089_3727731_pos,I6H93_18000,QQB66830.1,,3727089,3727731,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004834292.1,dup_58
CDS_CP066016.1_2436296_2437387_pos,I6H93_11665,QQB65685.1,,2436296,2437387,pos,,IS4 family transposase ISAba1,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612069.1,dup_27
CDS_CP066016.1_3737512_3737863_pos,I6H93_18085,QQB66846.1,,3737512,3737863,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005124460.1,dup_82
CDS_CP066016.1_2789609_2790152_neg,I6H93_13415,QQB66004.1,,2789609,2790152,neg,,GNAT family N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001159732.1,dup_62
CDS_CP066016.1_1536953_1538375_pos,I6H93_07380,QQB68458.1,,1536953,1538375,pos,,cysteine--tRNA ligase,,6.1.1.16,,COORDINATES: similar to AA sequence:RefSeq:YP_004994788.1,dup_13
CDS_CP066016.1_1244828_1245863_neg,I6H93_06025,QQB68206.1,arsB,1244828,1245863,neg,,ACR3 family arsenite efflux transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004995105.1,dup_35
CDS_CP066016.1_158336_160229_pos,I6H93_00650,QQB67205.1,,158336,160229,pos,,DUF4105 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996123.1,dup_7
CDS_CP066016.1_3632923_3633214_neg,I6H93_17450,QQB66733.1,,3632923,3633214,neg,,peptidylprolyl isomerase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_004996561.1,dup_86
